Year	Model	Model Code	MSRP	Dlr Inv.	Model Description
2021	CIVIC 5DR	FK7G4MEW	"$23,300.00 "	"$22,098.63 "	5D 1.5T L4 Sport 6-Speed Manual Transmission
2021	CIVIC 5DR	FK7G4MEW	"$23,695.00 "	"$22,472.40 "	5D 1.5T L4 Sport 6-Speed Manual Transmission w/Premium Color
2021	CIVIC 5DR	FK7H4MEW	"$24,100.00 "	"$22,855.63 "	5D 1.5T L4 Sport Continuously Variable Transmission PZEV
2021	CIVIC 5DR	FK7H4MEW	"$24,495.00 "	"$23,229.40 "	5D 1.5T L4 Sport Continuously Variable Transmission w/Premium Color
2021	CIVIC 5DR	FK7H6MJW	"$24,700.00 "	"$23,423.38 "	5D 1.5T L4 EX Continuously Variable Transmission PZEV
2021	CIVIC 5DR	FK7H6MJW	"$25,095.00 "	"$23,797.15 "	5D 1.5T L4 EX Continuously Variable Transmission w/Premium Color
2021	CIVIC 5DR	FK7G9MKNW	"$28,600.00 "	"$26,671.88 "	5D 1.5T L4 Sport Touring 6-Speed Manual Transmission
2021	CIVIC 5DR	FK7G9MKNW	"$28,995.00 "	"$27,045.65 "	5D 1.5T L4 Sport Touring 6-Speed Manual Transmission w/Premium Color
2021	CIVIC 5DR	FK7H9MKNW	"$29,400.00 "	"$27,416.52 "	5D 1.5T L4 Sport Touring Continuously Variable Transmission PZEV
2021	CIVIC 5DR	FK7H9MKNW	"$29,795.00 "	"$27,790.29 "	5D 1.5T L4 Sport Touring Continuously Variable Transmission w/Premium Color
2021	ODYSSEY	RL6H2MEW	"$31,790.00 "	"$30,296.01 "	5D 3.5 V6 LX 10-Speed Automatic Transmission
2021	ODYSSEY	RL6H2MEW	"$32,185.00 "	"$30,663.68 "	5D 3.5 V6 LX 10-Speed Automatic Transmission w/Premium Color
2021	ODYSSEY	RL6H5MEXW	"$35,190.00 "	"$32,805.85 "	5D 3.5 V6 EX 10-Speed Automatic Transmission
2021	ODYSSEY	RL6H5MEXW	"$35,585.00 "	"$33,173.52 "	5D 3.5 V6 EX 10-Speed Automatic Transmission w/Premium Color
2021	ODYSSEY	RL6H7MJXW	"$38,460.00 "	"$35,849.57 "	5D 3.5 V6 EX-L 10-Speed Automatic Transmission
2021	ODYSSEY	RL6H7MJXW	"$38,855.00 "	"$36,217.24 "	5D 3.5 V6 EX-L 10-Speed Automatic Transmission w/Premium Color
2021	ODYSSEY	RL6H8MKXW	"$42,500.00 "	"$38,953.38 "	5D 3.5 V6 Touring 10-Speed Automatic Transmission
2021	ODYSSEY	RL6H8MKXW	"$42,895.00 "	"$39,321.05 "	5D 3.5 V6 Touring 10-Speed Automatic Transmission w/Premium Color
2021	ODYSSEY	RL6H9MKXW	"$47,820.00 "	"$43,823.04 "	5D 3.5 V6 Elite 10-Speed Automatic Transmission
2021	ODYSSEY	RL6H9MKXW	"$48,215.00 "	"$44,190.71 "	5D 3.5 V6 Elite 10-Speed Automatic Transmission w/Premium Color
2021	CLARITY PLUG-IN HYBRID	ZC5F1MEW	"$33,400.00 "	"$32,028.78 "	4D Clarity PHEV
2021	CLARITY PLUG-IN HYBRID	ZC5F1MEW	"$33,795.00 "	"$32,406.68 "	4D Clarity PHEV w/Premium Color
2021	CLARITY PLUG-IN HYBRID	ZC5F3MGW	"$36,600.00 "	"$35,090.22 "	4D Clarity PHEV
2021	CLARITY PLUG-IN HYBRID	ZC5F3MGW	"$361,015.00 "	"$35,468.12 "	4D Clarity PHEV w/Premium Color
2021	PILOT	YF5H1MEW	"$32,550.00 "	"$29,763.89 "	2WD 5D 3.5 V6 LX 9-Speed Automatic Transmission
2021	PILOT	YF5H1MEW	"$32,945.00 "	"$30,124.17 "	2WD 5D 3.5 V6 LX 9-Speed Automatic Transmission w/Premium Color
2021	PILOT	YF5H3MEXW	"$35,230.00 "	"$32,208.32 "	2WD 5D 3.5 V6 EX 9-Speed Automatic Transmission
